experiment,label,frame,time_s,joint_linear_ke,bend_m,q1_m,q2_m,current_residual_m,max_residual_m,drive_stroke_m
joint_stiffness,k_joint=20000,120,2.00000000,20000.00000000,0.1659003552,0.1642994136,0.0019624340,0.0076763602,0.0111037596,-0.0000000076
joint_stiffness,k_joint=20000,240,4.00000000,20000.00000000,0.3028309525,0.3011907339,0.0019748891,0.0078246385,0.0111037596,-0.0000000076
joint_stiffness,k_joint=20000,480,8.00000000,20000.00000000,0.5092361823,0.5075349808,0.0020082253,0.0080055982,0.0111037596,-0.0000000076
joint_stiffness,k_joint=20000,600,10.00000000,20000.00000000,0.5858245048,0.5840955973,0.0020305903,0.0080499268,0.0111037596,-0.0000000076
joint_stiffness,k_joint=50000,0,0.00000000,50000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
joint_stiffness,k_joint=50000,30,0.50000000,50000.00000000,0.0182246023,0.0166158713,0.0020112309,0.0031446196,0.0040379660,-0.0000000076
joint_stiffness,k_joint=50000,60,1.00000000,50000.00000000,0.0359427151,0.0343814045,0.0019418291,0.0030494173,0.0040379660,-0.0000000076
joint_stiffness,k_joint=50000,120,2.00000000,50000.00000000,0.0701155482,0.0685390607,0.0019420966,0.0030917531,0.0040379660,-0.0000000076
joint_stiffness,k_joint=50000,240,4.00000000,50000.00000000,0.1341503879,0.1325542182,0.0019344779,0.0031937003,0.0040379660,-0.0000000076
joint_stiffness,k_joint=50000,480,8.00000000,50000.00000000,0.2476401764,0.2460233718,0.0019121268,0.0033980271,0.0040379660,-0.0000000076
joint_stiffness,k_joint=50000,600,10.00000000,50000.00000000,0.2982238381,0.2966012955,0.0019014585,0.0034779770,0.0040379660,-0.0000000076
joint_stiffness,k_joint=100000,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
joint_stiffness,k_joint=100000,30,0.50000000,100000.00000000,0.0092974932,0.0077354750,0.0019496398,0.0015312408,0.0018100561,-0.0000000076
joint_stiffness,k_joint=100000,60,1.00000000,100000.00000000,0.0182273058,0.0166676044,0.0019380186,0.0015326739,0.0018100561,-0.0000000076
joint_stiffness,k_joint=100000,120,2.00000000,100000.00000000,0.0357234497,0.0341537856,0.0019339621,0.0015573227,0.0018100561,-0.0000000076
joint_stiffness,k_joint=100000,240,4.00000000,100000.00000000,0.0693352844,0.0677506030,0.0019226266,0.0016244032,0.0018100561,-0.0000000076
joint_stiffness,k_joint=100000,480,8.00000000,100000.00000000,0.1317751787,0.1301744729,0.0018919714,0.0017887831,0.0018100561,-0.0000000076
joint_stiffness,k_joint=100000,600,10.00000000,100000.00000000,0.1609440695,0.1593404114,0.0018743268,0.0018717927,0.0018717927,-0.0000000076
joint_stiffness,k_joint=200000,0,0.00000000,200000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
joint_stiffness,k_joint=200000,30,0.50000000,200000.00000000,0.0047618548,0.0032047592,0.0019354534,0.0007678462,0.0007947869,-0.0000000076
joint_stiffness,k_joint=200000,60,1.00000000,200000.00000000,0.0092306788,0.0076694326,0.0019329250,0.0007738959,0.0007947869,-0.0000000076
joint_stiffness,k_joint=200000,120,2.00000000,200000.00000000,0.0180410096,0.0164718237,0.0019278853,0.0007893468,0.0007947869,-0.0000000076
joint_stiffness,k_joint=200000,240,4.00000000,200000.00000000,0.0351802566,0.0335979499,0.0019159182,0.0008298789,0.0008298789,-0.0000000076
joint_stiffness,k_joint=200000,480,8.00000000,200000.00000000,0.0677351976,0.0661353245,0.0018867987,0.0009343292,0.0009343292,-0.0000000076
joint_stiffness,k_joint=200000,600,10.00000000,200000.00000000,0.0832513026,0.0816463158,0.0018703069,0.0009914173,0.0009914173,-0.0000000076
joint_stiffness,k_joint=500000,0,0.00000000,500000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
joint_stiffness,k_joint=500000,30,0.50000000,500000.00000000,0.0020237328,0.0004577274,0.0019232936,0.0003170683,0.0003170683,-0.0000000076
joint_stiffness,k_joint=500000,60,1.00000000,500000.00000000,0.0037799317,0.0022033772,0.0019300873,0.0003222164,0.0003222164,-0.0000000076
joint_stiffness,k_joint=500000,120,2.00000000,500000.00000000,0.0072560603,0.0056732981,0.0019248393,0.0003304757,0.0003304757,-0.0000000076
joint_stiffness,k_joint=500000,240,4.00000000,500000.00000000,0.0140749457,0.0124808997,0.0019137679,0.0003501382,0.0003501382,-0.0000000076
joint_stiffness,k_joint=500000,480,8.00000000,500000.00000000,0.0272191589,0.0256066900,0.0018895360,0.0003976973,0.0003976973,-0.0000000076
joint_stiffness,k_joint=500000,600,10.00000000,500000.00000000,0.0335610114,0.0319408998,0.0018767294,0.0004237727,0.0004237727,-0.0000000076
joint_stiffness,k_joint=1e+06,0,0.00000000,1000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
joint_stiffness,k_joint=1e+06,30,0.50000000,1000000.00000000,0.0010866790,-0.0004393388,0.0018394785,0.0001632145,0.0001632145,-0.0000000076
joint_stiffness,k_joint=1e+06,60,1.00000000,1000000.00000000,0.0019355438,0.0003163618,0.0019506095,0.0001753364,0.0001753364,-0.0000000076
joint_stiffness,k_joint=1e+06,120,2.00000000,1000000.00000000,0.0035889880,0.0019589399,0.0019536356,0.0001807345,0.0001807345,-0.0000000076
joint_stiffness,k_joint=1e+06,240,4.00000000,1000000.00000000,0.0068448626,0.0052056350,0.0019440521,0.0001910166,0.0001910166,-0.0000000076
joint_stiffness,k_joint=1e+06,480,8.00000000,1000000.00000000,0.0131668431,0.0115110492,0.0019245569,0.0002140430,0.0002140430,-0.0000000076
joint_stiffness,k_joint=1e+06,600,10.00000000,1000000.00000000,0.0162373387,0.0145737622,0.0019148469,0.0002262188,0.0002262188,-0.0000000076
joint_stiffness,k_joint=3e+06,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
joint_stiffness,k_joint=3e+06,30,0.50000000,3000000.00000000,0.0003906810,-0.0008654391,0.0014251363,0.0000551113,0.0000551113,-0.0000000076
joint_stiffness,k_joint=3e+06,60,1.00000000,3000000.00000000,0.0006597716,-0.0009982400,0.0019042582,0.0000702679,0.0000702679,-0.0000000076
joint_stiffness,k_joint=3e+06,120,2.00000000,3000000.00000000,0.0010981670,-0.0007470582,0.0021251459,0.0000800631,0.0000800631,-0.0000000076
joint_stiffness,k_joint=3e+06,240,4.00000000,3000000.00000000,0.0019136572,0.0000403969,0.0021502327,0.0000835594,0.0000835820,-0.0000000076
joint_stiffness,k_joint=3e+06,480,8.00000000,3000000.00000000,0.0035105572,0.0016290217,0.0021408012,0.0000882642,0.0000882748,-0.0000000076
joint_stiffness,k_joint=3e+06,600,10.00000000,3000000.00000000,0.0042932629,0.0024077410,0.0021359921,0.0000906911,0.0000906911,-0.0000000076
substeps,1 substeps,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
substeps,1 substeps,30,0.50000000,100000.00000000,0.0090911636,0.0075034378,0.0019817310,0.0015557520,0.0018442729,-0.0000000076
